DATUM,TICKER,PREIS
2019-06-26,SYK,202.21
2019-09-12,SYK,221.03
2020-05-12,SYK,193.21
2020-06-12,SYK,185.65
2022-11-22,SYK,225.19
2024-02-06,CFG,31.47
2025-06-02,CFG,40.06
2026-04-17,FUL,65.83
2026-07-02,TSM,77.09
2026-07-15,JEF,54.86
2026-07-29,OPTU,0.76
2026-07-30,OPTU,0.74
2026-07-31,OPTU,0.74
2026-08-11,AMH,23.23
2026-08-11,AMRZ,47.31
2026-08-11,AMRZ,46.60
2026-08-11,AMRZ,47.38
2026-08-11,AMRZ,47.12
2026-08-11,AMRZ,46.36
2026-08-11,CC,14.95
2026-08-11,CE,45.60
2026-08-11,CEG,278.62
2026-08-11,CIA,3.83
2026-08-11,HOG,26.38
2026-08-11,INTC,95.00
2026-08-11,LILA,20.93
2026-08-11,LILA,8.50
2026-08-11,MTCH,36.63
2026-08-12,AMH,22.51
2026-08-12,AMRZ,47.13
2026-08-12,BTDR,9.04
2026-08-12,BW,9.65
2026-08-12,CC,15.53
2026-08-12,ELAN,21.82
2026-08-12,EMBC,4.97
2026-08-12,EMBC,4.70
2026-08-12,EMBC,4.99
2026-08-12,EMBC,4.67
2026-08-12,ETN,469.93
2026-08-12,LXU,9.89
2026-08-12,MTDR,52.16
2026-08-12,OCSL,12.69
2026-08-12,PAR,17.36
2026-08-12,QTRX,2.75
2026-08-12,TNC,67.34
2026-08-12,TNC,68.18
2026-08-12,TRS,39.63
2026-08-12,UTI,25.95
2026-08-12,VVV,33.20
2026-08-13,ALT,2.95
2026-08-13,APTV,48.58
2026-08-13,BROS,51.56
2026-08-13,BW,9.50
2026-08-13,CMC,71.92
2026-08-13,ETN,455.90
2026-08-13,LILA,8.50
2026-08-13,MTDR,51.44
2026-08-13,QTRX,2.93
2026-08-13,RWAY,6.97
2026-08-13,VFC,14.73
2026-08-14,ASND,246.33
2026-08-14,BFLY,8.68
2026-08-14,BRCC,0.85
2026-08-14,BTDR,8.84
2026-08-14,CDNL,38.41
2026-08-14,CDNL,39.36
2026-08-14,CDNL,36.82
2026-08-14,CDNL,39.48
2026-08-14,CDNL,39.61
2026-08-14,CDNL,36.53
2026-08-14,CE,45.52
2026-08-14,CHCT,15.13
2026-08-14,EQPT,20.81
2026-08-14,FTI,78.55
2026-08-14,INFQ,12.42
2026-08-14,LILA,8.50
2026-08-14,ONON,30.67
2026-08-14,ONON,30.67
2026-08-14,REZI,20.58
2026-08-14,REZI,20.46
2026-08-14,RWAY,6.89
2026-08-14,WULF,16.54
2026-08-17,AMRZ,46.92
2026-08-17,ARE,46.28
2026-08-17,CDNL,39.13
2026-08-17,CNP,40.70
2026-08-17,ECG,144.95
2026-08-17,EQPT,21.34
2026-08-17,MTDR,53.64
2026-08-17,NATR,14.69
2026-08-17,REZI,20.68
2026-08-17,WULF,17.47
2026-08-18,ARLP,25.81
2026-08-18,CORZ,19.19
2026-08-18,ELAN,23.58
2026-08-18,EQPT,19.56
2026-08-18,ET,21.27
2026-08-18,GLPI,42.24
2026-08-18,LIN,479.12
2026-08-18,TSM,74.26
2026-08-19,BRCC,0.85
2026-08-19,BWA,67.59
2026-08-19,ET,21.26
2026-08-19,FCNCA,2168.11
2026-08-19,MGEE,81.30
2026-08-19,NOMD,11.85
2026-08-19,OPTU,0.84
2026-08-19,SMRT,1.40
2026-08-19,TSM,73.77
2026-08-19,ZWS,49.60
2026-08-20,ALK,40.06
2026-08-20,AMR,193.50
2026-08-20,ASPS,5.60
2026-08-20,CMCO,17.14
2026-08-20,CORZ,18.33
2026-08-20,ELAN,23.40
2026-08-20,FOSL,5.58
2026-08-20,GO,10.90
2026-08-20,MPT,4.15
2026-08-20,NBBK,21.75
2026-08-20,NBBK,21.80
2026-08-20,OPTU,0.85
2026-08-20,RHLD,117.84
2026-08-20,SDHC,12.68
2026-08-20,SMRT,1.36
2026-08-21,AMR,210.51
2026-08-21,AMR,208.92
2026-08-21,AMRC,21.64
2026-08-21,AMT,177.00
2026-08-21,EQPT,18.64
2026-08-21,HRI,163.00
2026-08-21,OPTU,0.85
2026-08-21,PGEN,7.23
2026-08-21,PODD,147.47
2026-08-21,SWZ,5.93
2026-08-21,VERI,0.85
2026-08-24,AMH,22.42
2026-08-24,AMRC,20.87
2026-08-24,AMRC,20.91
2026-08-24,AMRC,20.96
2026-08-24,ASYS,14.34
2026-08-24,BABA,14.29
2026-08-24,BABA,14.24
2026-08-24,IRIX,0.75
2026-08-24,NOMD,12.38
2026-08-24,OPLN,33.72
2026-08-24,OPTU,0.83
2026-08-24,SWZ,5.93
2026-08-24,TTMI,104.90
2026-08-24,VST,135.00
2026-08-25,AMR,216.53
2026-08-25,AMRC,21.95
2026-08-25,AMRZ,44.12
2026-08-25,AMRZ,44.15
2026-08-25,BABA,14.47
2026-08-25,BSX,49.22
2026-08-25,HWKN,118.75
2026-08-25,KDP,31.83
2026-08-25,MAIR,24.97
2026-08-25,MAIR,27.84
2026-08-25,OPTU,0.85
2026-08-25,SDHC,12.34
2026-08-25,TTMI,111.77
2026-08-25,UTI,21.77
2026-08-25,WELL,239.47
2026-08-26,AMRC,21.92
2026-08-26,AMRZ,45.02
2026-08-26,BATL,1.30
2026-08-26,DKS,128.72
2026-08-26,DKS,128.69
2026-08-26,DKS,128.89
2026-08-26,IPGP,73.58
2026-08-26,KLAR,14.37
2026-08-26,MTDR,54.49
2026-08-26,SITE,96.13
2026-08-26,WELL,242.06
2026-08-27,AIIR,7.35
2026-08-27,AIIR,7.97
2026-08-27,AMRC,22.84
2026-08-27,AMRZ,44.58
2026-08-27,BATL,1.31
2026-08-27,CTEV,38.81
2026-08-27,DKS,130.72
2026-08-27,DKS,129.00
2026-08-27,GO,11.70
2026-08-27,HWKN,119.00
2026-08-27,INDV,35.69
2026-08-27,MTDR,56.64
2026-08-27,SGI,62.84
2026-08-27,UTI,21.80
2026-08-27,VRSN,293.68
2026-08-28,AAON,76.42
2026-08-28,AMR,228.99
2026-08-28,AMRC,22.13
2026-08-28,CTEV,38.48
2026-08-28,EQPT,17.87
2026-08-28,GBCI,47.04
2026-08-28,LILA,8.48
2026-08-28,LINE,39.50
2026-08-31,ABR,5.07
2026-08-31,AIRG,5.31
2026-08-31,ASTS,57.22
2026-08-31,CAVA,66.52
2026-08-31,CIA,3.80
2026-08-31,CVBF,22.03
2026-08-31,EQPT,17.46
2026-08-31,LILA,21.00
2026-08-31,SWZ,5.98
2026-08-31,VST,135.99
2026-08-31,WIX,59.89
2026-08-31,WIX,59.89
2026-08-31,WIX,59.89
2026-08-31,WIX,59.89
2026-08-31,WIX,59.89
2026-08-31,WIX,59.89
2026-09-01,AIIR,7.50
2026-09-01,AIRG,5.11
2026-09-01,ALRS,32.45
2026-09-01,DKS,133.19
2026-09-01,DY,286.92
2026-09-01,EQPT,17.03
2026-09-01,GPI,269.66
2026-09-01,HONA,156.00
2026-09-01,IBKR,94.53
2026-09-01,LILA,8.50
2026-09-01,LILA,20.65
2026-09-01,MGY,26.78
2026-09-01,SDHC,12.20
2026-09-01,VST,135.25
2026-09-02,AMRZ,42.47
2026-09-02,AON,327.48
2026-09-02,ENOV,20.32
2026-09-02,EQPT,17.79
2026-09-02,EQPT,17.69
2026-09-02,GPI,276.03
2026-09-02,LILA,20.95
2026-09-02,MIR,15.60
2026-09-02,MSCI,560.00
2026-09-02,SDHC,11.50
2026-09-03,EIKN,11.56
2026-09-03,ENOV,19.46
2026-09-03,GPI,282.63
2026-09-04,ENOV,19.15
2026-09-04,ENOV,18.80
2026-09-04,GPI,300.15
2026-09-04,KMT,30.21
2026-09-04,TSN,51.50
2026-09-04,UBER,75.83
2026-09-08,AMR,225.83
2026-09-08,BRBR,9.89
2026-09-08,INBX,105.82
2026-09-08,INBX,113.52
2026-09-08,INBX,114.65
2026-09-08,SEI,64.23
2026-09-09,DY,296.76
